listing_id,price_confirmed,price_on_request,area_util_sqm,area_lote_sqm,num_bathrooms,condition,heating,energy_certificate,has_parking,has_terrace,has_balcony,has_garden,has_pool,has_storage,is_new_development,is_luxury,is_offmarket,typology_code,advertiser_commercial_name,advertiser_type,ami_license,ad_reference,external_url,description_full,has_ai_photos,scraped_at
35041974,,False,190.0,447.0,3,Segunda mão/bom estado,,Classe energética:,True,False,False,True,False,True,True,False,False,chalet,HB Luxury Real Estate,Profissional,AMI 18333,HB0947,,"Venha conhecer com a HB Luxury Real Estate esta Magnífica moradia T3 tradicional localizada na Pernigem, totalmente renovada com acabamentos de qualidade e distribuída por 2 pisos, combinando charme, conforto e funcionalidade mantendo a traça original da zona.

LUXO, TRADIÇÃO E EXCLUSIVIDADE EM PERFEITA HARMONIA

A propriedade dispõe de um agradável jardim exterior com iluminação, poço de água e um encantador lago, criando um ambiente único de tranquilidade e privacidade.

No rés do chão encontra-se uma ampla sala de estar e jantar, cozinha funcional, zona de lavandaria, área de arrumos, um quarto ou escritório e uma fantástica casa de banho exclusiva equipada com sauna, pensada para proporcionar momentos de puro relaxamento e bem-estar.

No primeiro piso destacam-se duas confortáveis suítes, oferecendo privacidade e conforto para toda a família.

Outro detalhe absolutamente especial desta propriedade é o tradicional forno a lenha, perfeito para preparar pão artesanal, assados e pizzas, tornando cada encontro em família ou entre amigos numa experiência autêntica e inesquecível.

A moradia conta ainda com garagem para uma viatura e excelentes espaços interiores e exteriores, ideal para quem procura qualidade de vida numa localização calma e privilegiada.

Uma oportunidade única para viver com elegância, conforto e autenticidade.

A localização privilegiada permite ainda um acesso rápido a Lisboa, ao Aeroporto Internacional e às zonas de Cascais e Estoril. Nas proximidades encontram-se restaurantes de excelência, comércio local, serviços e alguns dos mais prestigiados colégios internacionais, como a American International School of Lisbon e a TASIS Portugal. Encontra-se a curta distância do centro histórico de Sintra, das famosas praias da linha de Sintra e Ericeira, bem como de rápidos acessos a Lisboa e ao Aeroporto Internacional de Lisboa Humberto Delgado

Uma excelente oportunidade para quem procura tranquilidade, espaço, conforto e uma localização estratégica entre o campo, a praia e a cidade.

A vida é feita de mudanças

HB Luxury Real Estate
AMI 18333.",True,2026-07-16T15:15:57.846383
34938445,,False,528.0,976.0,5,Segunda mão/bom estado,Aquecimento central,Classe energética:,True,True,False,True,True,True,True,False,False,chalet,Ana Mação - KW,Profissional,AMI 12223,KWPT-031415-ID,https://ana-macao-kw.pt/quinta-beloura-moradia-luxo-t5_1,"Situada numa das moradas mais prestigiadas da Quinta da Beloura, esta moradia isolada T5+1, de arquitetura moderna e renovada em 2022, implanta-se num lote com cerca de 976 m² e oferece uma área total de construção de 528 m².

Distribuída por três pisos - cave, piso térreo e primeiro andar - e servida por elevador privativo, esta moradia de exceção foi concebida para proporcionar uma experiência residencial marcada pela sofisticação e pelo conforto. Com 6 quartos, incluindo um espaço complementar de grande versatilidade, revela uma organização harmoniosa, pensada para uma vivência contemporânea, elegante e funcional:

 • A zona social destaca-se pela amplitude e luminosidade, com uma sala principal com lareira e uma relação harmoniosa com os espaços exteriores, prolongando o interior para o jardim, os terraços e as várias áreas de lazer. O resultado é uma atmosfera serena e acolhedora, ideal tanto para o quotidiano familiar como para receber os seus convidados com requinte.

 • A moradia revela uma dimensão de lazer e bem-estar diferenciadora: sala de cinema privada com zona de bar e conforto acústico reforçado, sauna / banho turco, áreas técnicas e de arrumação, garagem para 2/3 viaturas com armários de grande capacidade, salão de jogos na cave com luz natural, zona de estar, bar em mármore e garrafeira com capacidade para cerca de 500 garrafas. A cozinha, equipada com eletrodomésticos Miele e zona de refeições, é complementada por lavandaria na cave.

 • A área privada integra 4 suites e 2 quartos, assegurando privacidade, conforto e autonomia. As suites dispõem de casa de banho privativa e beneficiam de climatização central (AVAC), aquecimento hidráulico, ventoinhas de teto, sistema de renovação de ar com sensores e acabamentos cuidadosamente selecionados, como pavimento em madeira com isolamento de cortiça.

 • No exterior, tudo foi pensado para usufruir de um estilo de vida exclusivo, com privacidade e conforto ao longo de todo o ano. O jardim envolve a piscina e as várias áreas de estar, criando um ambiente resguardado e sereno. Destacam-se a zona de refeições exterior coberta por pérgula, com capacidade para 12 pessoas, a área de lounge com firepit, bem como os terraços e varandas com coberturas automáticas. A piscina beneficia igualmente de sistema de cobertura.

Ao nível do equipamento e da tecnologia, a casa dispõe de aquecimento central alimentado por painéis solares e bomba de calor, sistema de purificação e renovação do ar (VMC), domótica controlada por aplicação, cortinas totalmente automatizadas, iluminação inteligente, incluindo Philips Hue em várias divisões, dois carregadores para veículos elétricos, depósitos subterrâneos automáticos para água, com bomba e alarme, bem como furo de água.

A localização acrescenta-lhe um caráter distintivo. Situada na Quinta da Beloura, esta residência encontra-se a poucos minutos a pé da Carlucci American International School of Lisbon e da TASIS Portugal, bem como de comércio e serviços.

No próprio condomínio, poderá usufruir de golfe, Holmes Place, spa, clube de ténis e padel, clube hípico, cinemas, restaurantes, farmácia, supermercados e clínicas.

Na envolvente, destacam-se ainda o Hotel Pestana, o Hotel Penha Longa e os seus prestigiados campos de golfe, bem como a incomparável Serra de Sintra. A localização permite também ligações rápidas a Cascais, Sintra, às praias da linha, ao Aeródromo de Cascais, ao Aeroporto de Lisboa e ao centro da capital.

Mais do que uma casa, esta é uma residência de assinatura, onde arquitetura, conforto, tecnologia e localização se unem com notável coerência. Uma propriedade distinta, pensada para quem valoriza discrição, sofisticação e uma vivência de elevado padrão, numa das localizações mais desejadas da Grande Lisboa.",True,2026-07-16T15:16:04.413887
34674490,,False,180.0,265.0,3,Segunda mão/bom estado,,Classe energética:,True,True,False,True,True,True,True,False,False,chalet,HB Luxury Real Estate,Profissional,AMI 18333,HB0842,https://www.hbluxuryrealestate.pt/imovel/exclusiva-moradia-t3-com-piscina-privativa-azenhas-do-mar-sintra/26149835,"Venha conhecer com a HB Luxury Real Estate esta exclusiva Moradia T3 de 180m2, Nova e distribuída por 3 pisos, num lote de 265m2. Localizada na prestigiada zona das Azenhas do Mar, Sintra. A escassos segundos da famosa Praia de Azenhas do Mar e da sua piscina natural, e a menos de 5 minutos da Praia das Maçãs e da Paia Grande, esta propriedade oferece o equilíbrio perfeito entre natureza, conforto e sofisticação.

Piso 0 
- Hall 5m2
-Amplo Salão de Estar 24m2 com Terraço, ideal para refeições ao ar livre
- Cozinha em open Space com zona de Refeições | Sala de Jantar 

Piso 1
-1 Suíte com roupeiros e amplo Terraço 
-1 Suíte com roupeiro 

Piso -1
-Salão de Estar 25m2 com acesso á Piscina e zona de lazer
-Casa de Banho completa 
- Zona de Lavandaria

Garagem para 2 viaturas 

*MORADIA A ESTREAR*

* Assista ao Vídeo do link em cima *

Entre os principais atributos desta propriedade destacam-se 2 terraços panorâmicos, Piscina privativa de 4 mt de por 2,8 mt e Jardim.

Possibilidade de transformar o Piso Inferior num apartamento com pré instalação para cozinha.
Imóvel perfeito para habitação permanente, casa de Férias ou para Alojamento Local devido á sua localização única. e características.Desfrute da proximidade do mar e viva a autenticidade de uma das regiões mais mágicas de Portugal.

Equipamentos:
-Ar Condicionado 
-Aspiração central
-Bomba de calor
-Ventilação forçada e natural em todos os compartimentos

Nesta moradia a construção de alta qualidade é evidenciada pelos seguintes fatores: isolamento térmico e acústico reforçado, sistema de ventilação natural e forçada, bomba de calor e climatização eficiente e projeto paisagístico com espécies endémicas e rega gota a gota.
O projeto de arquitetura parte de uma abordagem contemporânea, mas utiliza alguns detalhes arquitetônicos característicos da zona, conseguindo-se assim um projeto 100% integrado com a envolvente.

A localização é verdadeiramente privilegiada: praias paradisíacas estão a menos de 10 minutos de distância, e supermercados, cafés e restaurantes encontram-se nas proximidades. Tudo isso num ambiente tranquilo, perfeitamente integrado na natureza, oferecendo o equilíbrio ideal entre comodidade e qualidade de vida.A localização ideal para quem procura desfrutar da vida junto ao mar, com restaurantes requintados, comércio local, e todo o tipo de comércio e serviços nas redondezas. A 5 minutos de distância do centro de Colares, e da Praia das Macas e Praia Grande a 10 minutos do centro Histórico de Sintra e apenas a 30 minutos do Aeroporto de Lisboa. A 20 minutos dos principais Colégios privados American International School of Lisbon e a primeira unidade da TASIS em Portugal (The American School of Switzerland).

Sobre nós:

A HB Luxury Real Estate está presente no mercado imobiliário há alguns anos, tendo-se especializado no segmento “Prime” na vertente Habitação e produtos de Investimento em Portugal. A nossa equipa de profissionais oferece uma gama diversificada de serviços de qualidade aos clientes, garantindo todo o acompanhamento na seleção da propriedade, compra, venda ou arrendamento, assessoria jurídica e tributária e Banca durante todo o processo.

Num trabalho de estreita cooperação desenvolvido com os nossos escritórios associados em todo o mundo e com a nossa equipa de consultores, estamos presentes nos locais privilegiados de Lisboa, Cascais, Estoril, Sintra, Ericeira, Costa do Alentejo e Algarve.

A vida é feita de mudanças

HB Luxury Real Estate AMI 18333.",True,2026-07-16T15:16:09.982031
34554293,,False,,265.0,3,Segunda mão/bom estado,,Classe energética:,True,False,False,False,True,False,True,False,False,chalet,Dils Portugal,Profissional,AMI 3497 24280,34255,,"Moradia T2 com jardim e piscina privativa nas Azenhas do Mar. 

Com 179m2, distribuída por 3 pisos, num lote de 265m2, situada na prestigiada zona das Azenhas do Mar, Sintra. A poucos passos da praia e da piscina natural, e a menos de 5 minutos das praias das Maçãs e Grande, esta propriedade oferece o equilíbrio perfeito entre natureza, conforto e sofisticação.

Entre os principais atributos desta propriedade destacam-se: 3 pisos com 2 terraços panorâmicos; Piscina privativa e jardim; Garagem com uso versátil; 2 suítes + sala/quarto no piso térreo com casa de banho; Certificação Energética A+; Inclui eletrodomésticos, ar condicionado e aspiração central. 

Nesta moradia a construção de alta qualidade é evidenciada pelos seguintes fatores: isolamento térmico e acústico reforçado, sistema de ventilação natural e forçada, bomba de calor e climatização eficiente e projeto paisagístico com espécies endémicas e rega gota a gota. 
 
A localização é verdadeiramente privilegiada: praias paradisíacas estão a menos de 10 minutos de distância, e supermercados, cafés e restaurantes encontram-se nas proximidades. Tudo isso num ambiente tranquilo, perfeitamente integrado na natureza, oferecendo o equilíbrio ideal entre comodidade e qualidade de vida. 

Distribuição por pisos
Piso 0: Garagem multiusos, sala com acesso direto ao jardim e piscina, WC completo
Piso 1: Sala, cozinha e terraço ideal para refeições ao ar livre
Piso 2: 2 suítes, uma delas com terraço e vista ampla

Não perca esta oportunidade! 
Categoria Energética: A+ 

ref: 34255.",True,2026-07-16T15:16:16.045906
34509296,,False,,,3,Segunda mão/bom estado,,Classe energética:,True,True,False,True,True,True,True,False,False,chalet,RE/MAX Yes,Profissional,AMI 9706,123441151-140,https://www.remax.pt/123441151-140,"Moradia independente em zona tranquila, com 180 m² de área bruta distribuída por três quartos e três casas de banho, ideal para famílias que valorizam conforto e privacidade. A propriedade apresenta armários embutidos em vários espaços, oferecendo soluções práticas de arrumação, e inclui uma arrecadação que acrescenta funcionalidade ao imóvel. O lugar de garagem assegura comodidade no estacionamento.

Esta moradia, em segunda mão e em bom estado de conservação, destaca-se pela sua eficiência energética, classificada como A+, o que contribui para um consumo reduzido e maior sustentabilidade.

A localização é um dos pontos fortes deste imóvel, situado numa área residencial calma, com fácil acesso a serviços essenciais. Nas proximidades, encontra-se uma variedade de comércio local e supermercados, perfeitos para as necessidades do dia a dia. Para quem tem crianças ou jovens em idade escolar, há escolas a aproximadamente 7-12 minutos a pé, facilitando os trajetos diários.

A oferta de transportes públicos é conveniente, com paragens acessíveis a cerca de 10 minutos andando, permitindo ligações rápidas ao centro da cidade e outras zonas importantes. Para momentos de lazer, existem espaços verdes e áreas de recreio nas imediações, ideais para passeios e atividades ao ar livre.

Em suma, esta moradia é uma excelente oportunidade para quem procura um lar espaçoso, bem equipado e bem localizado, com todas as comodidades essenciais a uma curta distância a pé.",True,2026-07-16T15:16:22.131117
33518905,,False,,643.0,4,Segunda mão/bom estado,,Classe energética:,False,False,True,True,False,False,True,False,False,chalet,Dils Portugal,Profissional,AMI 3497 24280,27456,,"Moradia T4 para venda em Sintra com 430 m2 de área interior, inserida num terreno com 643 m2, totalmente renovada e distribuída por quatro pisos. 

Esta propriedade distingue-se pela combinação entre amplitude, conforto e uma envolvente natural única, numa zona central e tranquila de Sintra, ideal para quem procura privacidade sem abdicar da proximidade a serviços e acessos.

No piso térreo, a casa abre-se para um jardim que envolve toda a moradia, criando uma ligação fluída entre interior e exterior.
A área social é composta por uma ampla sala de estar com cozinha em open space, pensada para o convívio e a funcionalidade do dia a dia. Neste piso encontra-se ainda uma biblioteca de dimensões generosas, perfeita como espaço de leitura ou escritório, e uma casa de banho social.

No piso superior localiza-se a área mais reservada da casa, com uma suíte principal que se destaca pelo closet de grandes dimensões, oferecendo organização e conforto, e uma segunda suíte com áreas bem proporcionadas. 

O sótão foi aproveitado de forma eficiente, estando dividido em dois quartos luminosos que partilham uma casa de banho completa, tornando este piso ideal para quartos de família ou hóspedes.

A cave acrescenta uma dimensão diferenciadora ao imóvel, com espaços dedicados ao lazer e bem-estar. Aqui encontramos uma adega, uma sala de cinema, uma sauna e uma casa de banho completa, criando um verdadeiro refúgio dentro de casa.

No interior da propriedade existe espaço para estacionamento de várias viaturas. 

As vistas abertas sobre a serra de Sintra reforçam o carácter especial desta moradia, proporcionando uma experiência de habitar em contacto permanente com a natureza, a poucos minutos do centro histórico, de escolas, comércio local e principais acessos rodoviários. 

Uma oportunidade única para viver Sintra com espaço, conforto e qualidade de vida. 
Categoria Energética: F 

ref: 27456.",True,2026-07-16T15:16:28.259935
34798625,,False,,440.0,3,Segunda mão/bom estado,Aquecimento central,Classe energética:,True,False,False,False,True,False,True,False,False,chalet,Dils Portugal,Profissional,AMI 3497 24280,36259,,"Moradia T3 com uma área bruta de 272 m² e vista mar, situada em Colares, Sintra.
Inserida numa das zonas mais encantadoras de Portugal, esta moradia oferece o equilíbrio perfeito entre conforto, natureza e qualidade de vida, no coração da paisagem cultural de Sintra, classificada como Património Mundial da UNESCO. 

Distribuída por dois pisos, a moradia destaca-se pelas boas áreas, excelente organização dos espaços e muita luz natural.

No piso 0, encontram-se as zonas sociais, com uma sala ampla e acolhedora que se prolonga para a zona exterior, cozinha funcional e bem integrada, ideais para o dia a dia e para receber. 

O piso 1 é dedicado à zona privada, com três quartos bem dimensionados, garantindo tranquilidade e conforto. No exterior, a propriedade convida a desfrutar de momentos únicos com piscina e uma agradável vista mar, num ambiente perfeito para relaxar ou conviver. 

A moradia conta ainda com aquecimento central e garagem que reforça a funcionalidade e o conforto em todas as divisões.

A localização é um dos seus grandes destaques: Colares está integrada na deslumbrante zona de Sintra, Património Mundial da UNESCO, onde a serra, o mar e a história se encontram. 

A poucos minutos das praias da costa atlântica, a moradia beneficia também da proximidade a restaurantes de referência, comércio local e a uma vasta oferta de percursos para passeios a pé ou de bicicleta, tanto pela serra como ao longo da orla marítima, proporcionando um estilo de vida único, em plena harmonia com a natureza.

É vendida totalmente mobilada, permitindo uma entrada imediata, seja para habitação própria, casa de férias ou investimento. Não perca esta oportunidade. 
Categoria Energética: B 

ref: 36259.",True,2026-07-16T15:16:34.294746
33285011,,False,512.0,3.325,5,Segunda mão/bom estado,Aquecimento individual,Classe energética:,True,True,False,True,False,True,True,False,False,chalet,HB Luxury Real Estate,Profissional,AMI 18333,HB0535,,"Venha conhecer com a HB Luxury Real Estate esta fantástica Moradia T4 de caráter único, exuberante e uma vista magnífica sobre o Oceano. Inserida num Terreno de grandes dimensões com 3325m2, em zona de Pinhal com jardim relvado, excelente exposição solar e uma maravilhosa Zona Lounge. De arquitetura perfeitamente integrada no ambiente e com uma distribuição ideal para proporcionar, conforto e funcionalidade Envolta em Terraços com uma fantástica vista sobre o mar e o campo.

O Imóvel é constituído por 2 Pisos.

Localizada em Assafora a 3 minutos da famosa Praia de S. Julião.

A envolvência no exterior da propriedade, com o jardim relvado, assim como a proximidade do Mar proporcionam um equilíbrio entre zonas verdes e de lazer, enquadrando-se na perfeição nesta exclusiva zona costeira mas também de campo.

Piso 0

- Um Amplo Salão de Estar e Jantar com uma bonita Salamandra e um Terraço com vista Mar.
- Cozinha com acesso á Sala.
- Casa de banho Social
- Uma Suíte com roupeiro e uma bonita Mezzanine.
- 1 Quarto com roupeiro
- 1 Quarto com roupeiro
- 1 Casa de Banho de apoio aos dois quartos

No maravilhoso salão temos acesso a uma outra Mezzanine para Escritório /Biblioteca

- 1 Master Suíte com um Walk in Closet e uma Casa de Banho completa com Duche e uma Banheira de Hidromassagem aberta para a Suíte que poderá ser o seu SPA de eleição.

Piso -1

- Quarto adicional para empregada / hóspede ou mesmo para Sala de Cinema
- Lavandaria
- Zona de Garagem para 4 viaturas com um Terraço Coberto de acesso.
- Zona de arrumos
- Zona para Salão de jogos

De salientar que esta magnifica propriedade possui ainda uma Guest-House com Sala/Quarto e Casa de Banho junto da Zona de Lazer coberta ideal para amigos e convidados.

Equipamentos:

- Recuperador de calor
- Painéis solares
- Isolamento térmico e acústico
- Vídeo porteiro
- Janelas oscilo batentes com vidros duplos
- Portões automatizados

Assista ao Vídeo do Link em cima

Localização e Zona Envolvente:

Localizada numa zona privilegiada próximo de todo o tipo de comércio e serviços, a escassos minutos das principais Praias da zona (, S Juliao, Lizandro e Ericeira ).Com ótimos acessos à IC19, A16 e A5. Situada apenas a 15 minutos do centro histórico de Sintra,30 minutos de Lisboa e do Aeroporto Internacional,10 minutos da Ericeira,25 minutos de Cascais e 20 minutos dos principais Colégios privados American International School of Lisbon e a primeira unidade da TASIS em Portugal (The American School of Switzerland).

Sintra beneficia da paisagem cultural e natural e a notável presença da sua arquitetura romântica, resultando na sua classificação catalogada pela UNESCO, como Património Mundial da Humanidade.
Conhecida pela sua Serra e monumentos e pontos turísticos e culturais tais como o Castelo dos Mouros, O Palácio Nacional da Pena, o Palácio Nacional de Sintra, a Quinta da Regaleira, o Palácio e Jardins de Monserrate assim como o famoso Palácio de Seteais.

Sobre nós:

A HB Luxury Real Estate está presente no mercado imobiliário há alguns anos, tendo-se especializado no segmento “Prime” na vertente Habitação e produtos de Investimento em Portugal. A nossa equipa de profissionais oferece uma gama diversificada de serviços de qualidade aos clientes, garantindo todo o acompanhamento na seleção da propriedade, compra, venda ou arrendamento, assessoria jurídica e tributária e Banca durante todo o processo.

Num trabalho de estreita cooperação desenvolvido com os nossos escritórios associados em todo o mundo e com a nossa equipa de consultores, estamos presentes nos locais privilegiados de Lisboa, Cascais, Estoril, Sintra, Ericeira, Costa do Alentejo e Algarve.

A vida é feita de mudanças

Venha conhecer e deslumbre-se

HB Luxury Real Estate AMI 18333.",True,2026-07-16T15:16:40.547944
35095257,,False,,3.72,6,Segunda mão/bom estado,,Classe energética:,True,True,False,True,True,True,True,False,False,chalet,Quintela + Penalva | Knight Frank,Profissional,AMI 6182,PROP-34715,,"Moradia T4 com piscina e anexo em Assafora, Sintra, inserida num lote de 3.720 m2 no Parque Natural de Sintra-Cascais. Localizada numa zona residencial de baixa densidade, beneficia de privacidade, enquadramento natural e proximidade às praias da Samarra, Vigia e São Julião, encontrando-se a cerca de 7 minutos da costa e com bons acessos a Sintra, Cascais e Lisboa.

Com 323 m2 de área bruta de construção, esta moradia foi construída em 2009 e desenvolve-se em três pisos, tirando partido da envolvente natural e da relação entre os espaços interiores e exteriores.

Organiza-se da seguinte forma:

No piso de entrada encontra-se a zona social, composta por sala de estar, sala de jantar, cozinha independente, dois quartos e uma casa de banho completa. A disposição dos espaços privilegia a funcionalidade e a ligação às áreas exteriores da propriedade.

No piso superior desenvolve-se a área mais privada da habitação, composta por duas suítes, ambas com varanda. Uma das suítes dispõe de casa de banho com banheira, enquanto a segunda inclui base de duche.

No piso inferior encontram-se a garagem com capacidade para duas viaturas, uma sala multiusos, lavandaria, casa de banho de apoio, áreas técnicas e zonas de arrumação.

O exterior destaca-se pela piscina com deck em madeira, jardim e várias áreas de lazer. A propriedade integra ainda um anexo de apoio à piscina, composto por sala, cozinha equipada, barbecue, forno a lenha, casa de banho e pátio, criando um espaço autónomo ideal para refeições, convívio e utilização durante todo o ano.

O terreno beneficia de características raras na região, incluindo contacto direto com uma ribeira de água permanente, poço para abastecimento da habitação, rega e piscina, zona de cultivo e área vedada para animais, proporcionando uma utilização versátil da propriedade.

A moradia encontra-se equipada com piso radiante em grande parte das divisões e painéis solares para aquecimento de águas, privilegiando conforto e eficiência energética.

A localização permite usufruir da tranquilidade do Parque Natural de Sintra-Cascais, mantendo proximidade a praias, comércio local, serviços, escolas e aos principais acessos rodoviários da região.

Características:

- Lote com 3.720 m2
- Área bruta de construção de 323 m2
- Moradia construída em 2009
- Piscina com deck em madeira
- Jardim
- Anexo de apoio à piscina
- Cozinha equipada no anexo
- Barbecue
- Forno a lenha
- Garagem para duas viaturas
- Sala multiusos
- Lavandaria
- Piso radiante na maior parte da moradia
- Painéis solares para aquecimento de águas
- Poço para abastecimento, rega e piscina
- Ribeira com água permanente confinante ao terreno
- Zona de cultivo
- Área vedada para animais
- Localização inserida no Parque Natural de Sintra-Cascais

Sintra beneficia da paisagem cultural e natural e a notável presença da sua arquitectura romântica, resultando na sua classificação catalogada pela UNESCO, como Património Mundial da Humanidade.

Conhecida pela sua Serra e monumentos e pontos turísticos e culturais tais como o Castelo dos Mouros, O Palácio Nacional da Pena, o Palácio Nacional de Sintra, a Quinta da Regaleira, o Palácio e Jardins de Monserrate.

Próximo de comércio local, restaurantes, explanadas e cafés com doces regionais tais como a Casa Piriquita, o café Saudade e a Fabrica de Queijadas - Recordação de Sintra onde podemos encontrar as famosas queijadas e travesseiros de Sintra.

Com fácil acesso a praias tais como a Praia da Ursa, a Praia das Maças, a Praia do Magoito, a Praia de São Julião e ao Cabo da Roca conhecido por ser o ponto mais ocidental da Europa Continental.

Com uma vasta rede de transportes à disposição e acesso facilitado a Cascais, Lisboa e ao Aeroporto Humberto Delgado. 
Categoria Energética: B- 

ref:PROP-34715.",True,2026-07-16T15:16:46.579129
33980214,,False,287.0,505.0,3,Segunda mão/bom estado,,Classe energética:,True,True,False,True,True,False,True,False,False,chalet,HB Luxury Real Estate,Profissional,AMI 18333,HB0682,https://www.hbluxuryrealestate.pt/imovel/moradia-t4-com-piscina-e-jardim-magoito-sintra/22131406,"Venha conhecer com a HB Luxury Real Estate esta Moradia T4 nova, de arquitetura contemporânea com Garagem, Piscina e Jardim localizada em zona calma de Magoito | Sintra.

Imóvel distribuído por 2 Pisos com Áreas generosas inserida em Terreno com 505m2.

Esta fantástica Moradia distribui se da seguinte forma:

Piso 0

- Hall de entrada 15,5m²
- Cozinha em Open Space para a sala 17,65m²
- Sala Estar e Jantar 39,2 m²
- Casa de banho 4,9 m²
- Hall de Circulação 2,9 m²
- Quarto/escritório 11,5 m²
- Garagem com zona de Lavandaria 19,05 m²

Piso 1
- Hall de distribuição 6,4 m²
- Hall de quartos com roupeiro 8 m²
- 1 Quarto com roupeiro 13,5 m²
- 1 Quarto com roupeiro 13,5 m²
- Varanda dos quartos com 11,95 m²
- Casa de banho com walkin shower 8,4 m²
- Hall da Suíte com 4,4 m²
- Master Suíte com 14,65 m²
- Closet com 5,5 m²
- Casa de banho da Suíte com banheira de hidromassagem. 11,95 m²
- Varanda da Suíte 21 m²

A Moradia tem uma excelente iluminação natural e uma perfeita ligação com a Piscina e zona da lazer com Barbecue. Imóvel com alto padrão de conforto, funcionalidade onde foram aplicados materiais nobres e de alta qualidade, onde predominam madeiras exóticas e tons neutros.

DESCRIÇÃO DO EXTERIOR:
- Piscina
- Zona de Barbecue junto da Piscina
- Zona relvada
- Calçada Portuguesa

EQUIPAMENTOS:
- Portões elétricos
- Ar condicionado Central
- Bomba de calor
- Estores elétricos
- Painéis solares

Cozinha equipada com:
- Forno
- Placa
- Exaustor
- Micro-ondas
- Frigorifico side by side
- Arca congeladora side by side
- Máquina lavar loiça

Assista ao Vídeo do Link em cima

Localização e Zona Envolvente:

Esta Moradia está localizada numa zona bastante calma, rodeada de campos desafogados. Entre a Serra e o Mar, numa localização privilegiada, esta moradia é perfeita para quem procura uma casa junto à praia mas com o sossego da aldeia.

Localizado em zona muito tranquila, em Magoito. O local é caracterizado por um micro clima onde se pode sentir a proximidade do Mar mas, usufruir da envolvência dos pinheiros e da zona caracterizada pelas suas Quintas e Pinhais com uma vista para o perfil da Serra de Sintra.
Para quem gosta de privacidade mas em simultâneo estar próximo de todos os acessos e desfrutar de toda a beleza que a zona proporciona.

Com uma localização perfeita a 5 minutos da praia de Magoito,10 minutos dos acessos a Lisboa e Cascais e muito próximo das outras principais Praias da Zona ( Azenhas do Mar, Praia das Maçãs e Praia Grande) e dos seus fantásticos e famosos restaurantes da zona. Situada a 10 minutos do centro histórico de Sintra e 20 minutos dos principais Colégios privados American International School of Lisbon e a primeira unidade da TASIS em Portugal (The American School of Switzerland) e a 30 minutos de Lisboa e do Aeroporto Internacional, 25 minutos do Centro de Cascais e Estoril e da Vila da Ericeira e suas famosas Praias e Gastronomia.

Sobre nós:

A HB Luxury Real Estate está presente no mercado imobiliário há alguns anos, tendo-se especializado no segmento “Prime” na vertente Habitação e produtos de Investimento em Portugal. A nossa equipa de profissionais oferece uma gama diversificada de serviços de qualidade aos clientes, garantindo todo o acompanhamento na seleção da propriedade, compra, venda ou arrendamento, assessoria jurídica e tributária e Banca durante todo o processo.
Num trabalho de estreita cooperação desenvolvido com os nossos escritórios associados em todo o mundo e com a nossa equipa de consultores, estamos presentes nos locais privilegiados de Lisboa, Cascais, Estoril, Sintra, Ericeira, Costa do Alentejo e Algarve.

Venha conhecer e deslumbre-se.

A vida é feita de mudanças.

HB Luxury Real Estate AMI 18333.",True,2026-07-16T15:16:52.544781
