listing_id,year_built,year_renovated,renovation_scope,num_floors,basement_area_sqm,basement_natural_light,num_suites,solar_orientation,view_type,floor_material,window_type,condominium_name,is_gated_community,condo_fee_eur,nearby_schools,transport_access,distance_beach_min,distance_center_min,has_golf,amenities_list,renovation_potential,expat_appeal,rental_income_eur,tenant_occupied,has_al_license,is_aru_zone,is_heritage_protected,enriched_at
35041974,,,total,2,,,2,,,,,,,,American International School of Lisbon; TASIS Portugal,"Acesso rápido a Lisboa, Aeroporto Internacional, Cascais e Estoril",,,,jardim exterior com iluminação; poço de água; lago; sauna; forno a lenha; garagem para 1 viatura,,alto,,False,,,,2026-07-16T17:09:09.190159
34938445,,2022,total,3,,True,4,,,wood,,Quinta da Beloura,True,,Carlucci American International School of Lisbon; TASIS Portugal,,,,True,golf; Holmes Place; spa; clube de ténis; padel; clube hípico; cinemas; restaurantes; farmácia; supermercados; clínicas; piscina; elevador privativo; sala de cinema; sauna; banho turco; garagem; salão de jogos; bar; garrafeira; aquecimento central com painéis solares e bomba de calor; sistema VMC; domótica; cortinas automatizadas; iluminação inteligente; carregadores para veículos elétricos; depósitos subterrâneos de água; furo de água,,alto,,,,,,2026-07-16T17:09:12.652347
34674490,,,,3,,,2,,mar,,,,,,American International School of Lisbon; TASIS (The American School of Switzerland),30 minutos do Aeroporto de Lisboa,0,5,,ar condicionado; aspiração central; bomba de calor; ventilação forçada e natural; piscina privativa; terraços panorâmicos; jardim; garagem para 2 viaturas,,alto,,,,,,2026-07-16T17:09:15.612347
34554293,,,,3,,,2,,vista ampla,,,,,,,,,,,piscina privativa; jardim; garagem; terraço; ar condicionado; aspiração central; bomba de calor; sistema de ventilação natural e forçada; rega gota a gota,,alto,,,,,,2026-07-16T17:09:18.182444
34509296,,,,,,,,,,,,,,,,public transport stops within a 10-minute walk,,,,local shops; supermarkets,,,,,,,,2026-07-16T17:09:20.488202
33518905,,,total,4,,,2,,serra,,,,,,,,,,,adega; sala de cinema; sauna,,,,,,,,2026-07-16T17:09:22.786817
34798625,,,,2,,,,,mar,,,,,,,,,,,,,alto,,,,,,2026-07-16T17:09:24.825346
33285011,,,,2,,,2,,mar e campo,,janelas oscilo batentes com vidros duplos,,,,American International School of Lisbon; TASIS em Portugal (The American School of Switzerland),"IC19, A16, A5",3.0,,,recuperador de calor; painéis solares; isolamento térmico e acústico; vídeo porteiro; portões automatizados,,alto,,,,,,2026-07-16T17:09:27.456557
35095257,2009,,,3,,,2,,,,,,,,,"Com uma vasta rede de transportes à disposição e acesso facilitado a Cascais, Lisboa e ao Aeroporto Humberto Delgado",7,,,"piscina; deck em madeira; jardim; anexo de apoio à piscina; cozinha equipada no anexo; barbecue; forno a lenha; garagem para duas viaturas; sala multiusos; lavandaria; piso radiante; painéis solares para aquecimento de águas; poço para abastecimento, rega e piscina; ribeira com água permanente; zona de cultivo; área vedada para animais",,,,,,,,2026-07-16T17:09:30.366536
33980214,,,,2,,,1,,,,,,,,American International School of Lisbon; TASIS (The American School of Switzerland),10 minutos dos acessos a Lisboa e Cascais,5,10,,Portões elétricos; Ar condicionado Central; Bomba de calor; Estores elétricos; Painéis solares; Piscina; Zona de Barbecue; Zona relvada; Calçada Portuguesa,,alto,,False,,,,2026-07-16T17:09:33.058367
34748919,,,,3,92.8,True,1,,verde,,,,,,American International School of Lisbon; TASIS Portugal (The American School of Switzerland),10 minutos dos acessos a Lisboa e Cascais,10,10,,lareira; aquecimento central; ar condicionado; portões elétricos; estores elétricos; barbecue; calçada portuguesa; forno; placa; exaustor; micro-ondas; frigorifico side by side; máquina lavar loiça,,alto,,,,,,2026-07-16T17:09:36.223797
34755055,,,,3,,,1,,,,oscilo batentes,,,,CAISL (American International School of Lisbon); TASIS (The American School in Portugal),"A16, A5, IC19",15,,,vidros duplos; ar condicionado; lareira com recuperador de calor,alto,alto,,,,,,2026-07-16T17:09:39.024726
34942010,2025,,,2,,,3,Sul,Vista mar e serra,Madeira,"Janelas elétricas nos pontos altos, rolos elétricos nas zonas comuns",,,,,Próximo de transportes,15,5,,Piscina; Pré-instalação para aquecimento da água da piscina; Pré-instalação para painéis solares; Pré-instalação de ar condicionado; Rolos elétricos nas zonas comuns; Janelas elétricas nos pontos altos; Aquecedores de toalhas em todas as casas de banho; Lavandaria com máquinas de lavar e secar e lavatório; Cozinha totalmente equipada; Pavimento todo em madeira,,,,,,,,2026-07-16T17:09:42.061326
34218284,,,,2,,,1,,,,,,,,,,,,,piscina; garagem; casa para caseiros; escritório,,alto,,,,,,2026-07-16T17:09:44.401212
34480322,1960,,,3,60,,,Este/Oeste,vista para a Serra e para o Palácio de Monserrate,,,,,,,"rede de transportes à disposição e acesso facilitado a Cascais, Lisboa e ao Aeroporto Humberto Delgado",,,,comércio local; restaurantes; transportes públicos,,,,,,,,2026-07-16T17:09:47.159191
35038527,,,,,,,0,,mar,,,,,,escolas internacionais,,2,2,,varanda; churrasqueira; lareira; cozinha totalmente equipada; aquecimento central elétrico; vídeo porteiro; despensa,,alto,,,,,,2026-07-16T17:09:49.868011
34933042,2024,,,2,,,3,,Serra de Sintra,,janelas panorâmicas,,,,,,5,,,Portões elétricos; Aquecimento por piso radiante; Aquecimento central; Sistema de aspiração central; Estores elétricos; Barbecue,,alto,,,,,,2026-07-16T17:09:52.352060
34405960,,,,3,,,3,,vista para o campo de golf,,,Quinta da Beloura,,,The American School in Portugal (TASIS); Carlucci American International School of Lisbon (CAISL),"IC19, A16, A5",,20,True,piscina; jardim; barbecue; aquecimento central; termoacumulador; ar condicionado; marquise fechada; terraço; garrafeira; arrecadação; garagem; estacionamento descoberto; área fechada para animais de estimação,,alto,,,,,,2026-07-16T17:09:55.493664
34570024,,,,2,,,,,golf,,,Quinta da Beloura,True,,Carlucci American International School of Lisbon; TASIS,"A16, A5, IC19 a 3 min de carro",20.0,15.0,True,aquecimento central; aspiração central; carregamento elétrico de veículos; rega automática; sistema de alarme com imagem; internet por cabo de fibra ótica; forno; churrasqueira; canil; alpendre com estacionamento,,alto,,,,,,2026-07-16T17:09:58.529508
34269251,,,,2,,,3,,,,,,,,,,10,10,,lareira; ar condicionado; aspiração central; estores elétricos; aquecimento central; aquecedor de toalhas; painéis fotovoltaicos; painel solar; placa de indução; caldeira a gasóleo e/ou gás; piscina; garagem,,alto,,,,,,2026-07-16T17:10:00.913604
35085051,,,parcial,4,,,1,,"vista para o Parque de Sintra, Palácio da Pena e oceano",,,,,,,,,,,,alto,alto,,,,,,2026-07-16T17:10:03.120689
34149378,1800,,total,,,,,,,,,,,,,estação de comboios a 5 min,,10.0,,,,alto,,,,,,2026-07-16T17:10:05.406398
33129716,,,,2,,,1,,vista sobre o jardim frontal,,,,,,,,,,,,,,,,,,,2026-07-16T17:10:07.730263
35090515,,,total,2,,,5,,Atlântico,,,,,,,,,,,piscina; terraços; jardim; garagem fechada para dois automóveis; estacionamento coberto; zona de refeições ao ar livre; infraestrutura para carregamento de veículos elétricos,,alto,,,,,,2026-07-16T17:10:10.376397
34902868,,,,2,,,2,sul/este,,madeira sucupira (piso 0) e carvalho (piso 1),,Quinta da Beloura,True,,escola Americana CAISL; creche,acessos facilitados ao centro de Lisboa e ao Aeroporto Humberto Delgado,,10,True,campo de golfe; campos de ténis e padel; hipismo; ginásio Holmes Place; spa; supermercados Supercor; Lidl; Aldi; farmácia,,alto,,,,,,2026-07-16T17:10:13.272772
35080769,,,,,,,2,excelente exposição solar,,,,condomínio fechado na Quinta da Beloura,True,,,"próximo de escolas, comércio, serviços e com ótimos acessos às principais vias da região (N9, A16 e A37)",,,,piscina; jardins; agradáveis zonas comuns,,,,,,,,2026-07-16T17:10:15.999276
